card,issuedate,activationdate,firstuseddate
"113,427",2020-03-11 19:52:11,2020-03-24 15:46:07,2020-04-08 00:38:03
"115,214",2020-03-30 22:40:30,2020-04-13 20:27:31,2020-06-23 19:25:10
"110,722",2020-01-14 17:45:47,2020-01-22 15:42:59,2020-05-21 21:41:43
"116,792",2020-04-13 18:40:38,2020-04-30 14:26:10,2020-07-07 19:28:42
"110,837",2020-05-13 22:20:24,2020-05-19 14:49:08,2020-07-20 18:35:30
"111,675",2020-01-30 21:03:20,2020-02-28 15:06:04,2020-04-18 11:33:35
"116,402",2020-04-08 22:40:35,2020-04-27 16:47:09,2020-05-11 19:46:55
"114,229",2020-03-18 19:59:09,2020-03-26 19:30:04,2020-07-16 20:19:50
"110,953",2020-01-20 14:31:22,2020-01-28 20:51:27,2020-02-15 23:49:43
"113,959",2020-03-16 22:33:06,2020-03-31 17:58:10,2020-05-17 03:50:45
"115,701",2020-03-31 21:40:32,2020-04-12 12:41:17,2020-05-05 15:37:41
"110,480",2020-01-28 17:50:20,2020-02-21 03:06:52,2020-03-16 10:55:10
"110,503",2020-01-28 17:49:39,2020-02-05 19:03:28,2020-06-12 21:47:35
"112,050",2020-02-05 19:59:54,2020-03-03 16:08:27,2020-04-27 12:48:15
"110,472",2020-01-28 17:50:35,2020-02-06 15:08:20,2020-06-17 17:14:19
"113,247",2020-02-26 19:38:54,2020-03-05 23:57:22,2020-04-13 21:38:01
"115,282",2020-03-31 18:41:00,2020-04-20 23:07:40,2020-05-29 17:52:52
"110,982",2020-01-20 14:54:22,2020-01-30 21:01:44,2020-07-07 19:32:37
"114,260",2020-03-31 20:40:43,2020-04-10 02:32:30,2020-05-07 20:57:54
"117,039",2020-11-30 13:48:50,2020-12-07 16:20:02,2021-01-04 16:05:00
"116,630",2020-04-13 16:05:43,2020-04-23 03:10:37,2020-05-05 16:17:29
"111,383",2020-01-28 18:06:09,2020-02-03 22:03:57,2020-03-22 11:38:25
"112,380",2020-02-10 19:36:56,2020-02-18 20:52:22,2020-04-29 16:06:45
"115,406",2020-03-31 19:40:35,2020-04-04 00:13:00,2020-05-16 16:11:39
"116,747",2020-04-11 07:01:36,2020-04-18 05:44:06,2020-05-09 10:39:07
"114,663",2020-03-22 02:13:34,2020-04-05 16:33:14,2020-05-04 00:37:59
"111,478",2020-01-27 19:33:54,2020-02-04 18:40:12,2020-07-16 17:07:32
"110,646",2020-01-15 21:12:15,2020-01-21 15:38:59,2020-02-14 17:37:38
"113,456",2020-03-11 18:27:56,2020-03-20 14:07:23,2020-04-11 01:40:57
"113,864",2020-03-17 14:31:14,2020-04-06 18:57:32,2020-07-17 17:58:55
"114,891",2020-03-24 16:18:53,2020-04-01 14:08:41,2020-07-30 18:33:22
"116,355",2020-04-09 17:40:37,2020-04-28 00:40:50,2020-05-10 22:06:16
"111,891",2020-03-22 21:35:38,2020-04-09 10:23:54,2020-04-25 19:43:41
"111,385",2020-01-27 18:26:10,2020-02-12 02:17:07,2020-02-27 21:39:24
"116,035",2020-04-06 19:41:02,2020-04-22 23:13:13,2020-05-14 02:38:02
"110,059",2020-01-28 17:53:31,2020-02-05 18:13:26,2020-02-23 14:58:29
"112,509",2020-03-17 22:08:01,2020-03-31 17:53:32,2020-07-17 18:19:42
"117,040",2020-11-30 13:49:58,2020-12-07 16:15:45,2021-01-04 10:07:25
"110,667",2020-03-27 22:40:38,2020-04-16 16:25:55,2020-06-29 21:39:39
"116,947",2020-04-14 20:40:38,2020-05-07 21:25:53,2020-05-26 14:48:05
"112,526",2020-02-12 21:18:08,2020-02-21 00:50:40,2020-03-04 20:06:44
"110,973",2020-01-20 14:51:18,2020-01-29 17:38:44,2020-03-03 14:55:26
"112,170",2020-02-07 18:45:08,2020-02-14 15:06:29,2020-03-13 20:42:43
"111,754",2020-03-03 17:58:11,2020-03-26 14:15:49,2020-06-29 23:40:21
"112,083",2020-03-22 03:29:07,2020-04-16 12:22:50,2020-05-31 18:05:31
"110,050",2020-01-02 22:33:24,2020-02-26 13:02:17,2020-07-20 00:27:46
"112,892",2020-03-17 14:48:09,2020-03-26 21:35:05,2020-06-27 16:46:06
"112,923",2020-02-20 22:11:01,2020-03-05 14:04:29,2020-05-29 21:27:28
"110,467",2020-01-09 01:04:42,2020-01-20 19:18:38,2020-07-13 02:03:33
"110,168",2020-04-01 14:23:52,2020-04-14 23:43:14,2020-07-15 23:46:09
"116,220",2020-04-07 22:40:33,2020-04-13 20:46:03,2020-05-04 00:48:34
"112,687",2020-03-17 16:25:32,2020-03-27 14:51:40,2020-07-17 16:47:22
"115,127",2020-03-30 21:40:42,2020-04-13 20:33:23,2020-05-05 21:38:33
"111,676",2020-04-08 22:41:06,2020-04-29 12:57:32,2020-05-16 14:06:21
"114,123",2020-03-10 23:56:43,2020-03-20 19:17:01,2020-04-06 11:50:22
"114,477",2020-03-30 22:40:29,2020-04-03 13:40:43,2020-05-17 15:57:51
"114,584",2020-03-23 21:42:33,2020-03-30 14:47:40,2020-07-18 20:58:46
"115,865",2020-04-06 19:41:05,2020-04-21 17:16:11,2020-05-12 00:38:17
"110,160",2020-01-04 22:56:44,2020-01-10 17:17:19,2020-02-21 21:46:05
"113,545",2020-03-11 18:42:15,2020-03-21 17:57:52,2020-05-22 20:59:17
"113,819",2020-03-20 19:13:12,2020-03-27 19:51:52,2020-04-11 20:30:01
"116,144",2020-04-07 20:40:34,2020-04-15 22:59:30,2020-08-04 00:53:38
"116,576",2020-04-09 22:40:30,2020-04-23 19:38:08,2020-07-11 12:37:07
"110,262",2020-03-26 21:41:03,2020-04-01 14:15:00,2020-04-16 20:42:57
"110,863",2020-01-15 21:01:55,2020-01-23 15:25:23,2020-09-03 13:47:02
"112,449",2020-03-22 02:47:04,2020-05-25 21:52:37,2020-06-19 20:34:08
"113,002",2020-02-20 06:53:12,2020-02-24 13:15:18,2020-03-07 13:35:19
"115,477",2020-03-31 20:40:41,2020-04-30 22:20:57,2020-07-14 22:44:21
"110,147",2020-02-07 18:42:36,2020-02-23 22:13:42,2020-03-26 16:53:23
"115,505",2020-03-31 20:40:36,2020-05-04 11:13:26,2020-07-03 14:13:01
"110,260",2020-03-27 22:40:43,2020-04-08 19:46:46,2020-05-29 22:30:21
"110,438",2020-01-28 17:50:36,2020-02-25 11:35:03,2020-03-31 16:48:52
"115,257",2020-03-30 21:40:40,2020-04-19 04:53:49,2020-05-01 14:17:31
"111,423",2020-01-27 18:48:55,2020-02-04 21:05:47,2020-02-28 14:50:36
"113,225",2020-02-26 19:33:47,2020-03-15 20:23:44,2020-04-03 02:06:26
"112,403",2020-03-22 02:42:37,2020-03-28 14:22:22,2020-05-02 22:44:04
"114,385",2020-03-22 02:51:16,2020-03-27 18:55:25,2020-04-09 00:37:03
"114,197",2020-03-19 20:29:48,2020-04-07 00:27:51,2020-05-21 15:20:58
"110,119",2020-01-10 21:09:58,2020-03-05 21:43:19,2020-05-05 00:03:16
"112,168",2020-02-07 18:39:39,2020-02-18 11:03:38,2020-03-01 01:20:43
"115,591",2020-03-31 20:40:31,2020-04-14 12:13:58,2020-05-16 16:04:56
"113,092",2020-02-26 19:13:47,2020-03-07 03:10:21,2020-03-24 13:09:31
"113,837",2020-03-31 18:41:01,2020-04-08 17:16:42,2020-04-22 22:11:05
"112,906",2020-03-13 20:23:11,2020-03-31 13:26:14,2020-06-05 13:38:39
"110,314",2020-01-24 20:23:10,2020-02-01 12:23:01,2020-06-12 04:00:30
"110,363",2020-04-07 22:41:09,2020-04-28 21:20:49,2020-05-24 12:35:30
"115,743",2020-04-01 19:40:31,2020-04-09 13:49:46,2020-05-03 00:36:02
"111,070",2020-01-21 21:29:08,2020-01-28 23:44:58,2020-02-19 19:30:24
"111,308",2020-03-23 14:53:41,2020-04-21 15:25:57,2020-07-10 17:17:13
"112,030",2020-02-04 21:48:06,2020-02-13 17:01:43,2020-07-02 17:20:54
"110,268",2020-01-10 21:43:09,2020-03-02 13:44:52,2020-08-29 17:15:06
"110,800",2020-04-01 14:15:13,2020-04-09 21:57:37,2020-05-15 20:09:56
