merchant_name,nooftransactions
MERCPAGO    *MARIAJOS,17
MANOEL JOSE DA SILVA,17
CARREFOUR TORREM,17
MERCADONA ARCHIDUQUE LUIS,17
MOIP,17
EXTRA CHURRASCARIA,17
EC*PGTODECONTAS,16
FortBairroDaPaz,16
HORTI NHAMBIQUARAS,16
LAPA HORTIFRUT,16
Eduzz,16
IFOOD       *IFOOD,16
EXPEROS,16
SUPERMERCADO ZONA SUL,16
MERCADO CAROLINA,16
000002200500000,16
CARREFOUR PENHA,16
Amazon.co.uk,16
PICPAY*verificacao,16
MERCPAGO    *GEISIANE,16
SUPERMERCADO SILVEIRA,16
DIA BRASIL 432,16
FRUTERIA EL ALTILLO,16
SONDA POMPEIA,15
Sainsburys Bank,15
MERCPAGO    *PET,15
01 - ALAPARK,15
IFD*BR,15
SumUp  *Mark Chatterton,15
IDEA,14
TAMANDARE,14
AVENIDA GOVERNADOR JOR,14
MADERO JUNDIAI L  LATO,14
RESTAURANTE TRADICAO,14
COMPRE BEM MOGI SOCORR,14
HT Radar Tecnico,14
FPM 880,14
FARMACIA PRECO BAIXO,14
SUSHI RAO BARRA,14
AJMM,14
Amazon.es,14
SUPER BERTI,14
SUBMARINO,14
WWW.ALIEXPRESS.COM,14
IZ*MERCADINHO ARAUJO,14
EXTRAFARMA RUA CORIOLA,14
AGRO COMERCIAL PICARRA,14
PIZZAPRIME,14
POSTO MIME FILIAL 37,14
EXTRA MOOCA LJ 1364,14
MCDONALDS,14
POSTO CHAMINE,14
EBANX*ALIPAY,14
PAYPAL      *UBER BR,14
MEGAIMAGE 0648 FSS COBALC,14
AVENIDA ENGENHEIRO GEO,14
PADARIA ESPACIAL,14
AUTO POSTO DE SERVICOS,14
TRADINGVIEW,13
SP CAMPO BELO C,13
WWW.JOHNLEWIS.COM,13
ALDI STORES LIMITED,13
17,13
PAMONHARIA E MERCEARIA,13
DOTERRA,13
POSTO ABSCOMBUSTIVEIS,13
CAJA DE AH.Y PE,13
PARSONS NOSE,13
MERCPAGO    *SERVICOS,13
EFL,13
VICENZA PIZZARIA,13
MERCADO CARVOEIRA,12
POINT DA BENCAO,12
AV DAS ARAUCARIAS,12
URB CAFE,12
PRODUTOS GLO,12
RESTAURANTE KHARINA -,12
ASSAI ATACADISTA,12
SUPERMERCADO ORIENTAL,12
PANIF NOVA DIAMANTE DE,12
SOUZA 2,12
RECARGA*EMPRESTIMO,12
FOLHAS E FRUTOS,12
WWW         *MOIP,12
PANIFICADORA E CONFEIT,12
Just Eat,12
SUPERMERCADO PEDROSO I,12
SUBWAY,12
MERCPAGO    *LANCHONE,12
GOLDCAR AEROPUERTO MALAGA,12
COBASI POMPEIA,12
Amazon.com,12
FARMACIA PRECO POPULAR,12
RAPPI - FAST FOOD,12
SAINSBURYS SACAT0539,12
AVENIDA DAS AMERICAS,12
AREATEC - TECNOLOGIA E,12
EROSKI CENTER,12
TransValidadoraPS,12
AVENIDA EMBAIXADOR ABE,12
POSTO MIMI,12
FARMACIAS BIOVIDA,12
SCREWFIX DIRECT,12
PAYPAL *4029357733,12
ULABOX S.L,12
MASTERCARD UK MANA,12
ifood  *SPOONROCKET,12
RODOVIA ANTONIO HEIL,12
EMIRELI,12
TopFoods,12
MERCPAGO    *MERCADOP,11
12345678,11
NAME-CHEAP COM,11
TFL CYCLE HIRE,11
SUPERDUMBO ALTABIX,11
EC,11
Google HBO DIGITAL,11
ALDI ELCHE,11
AMAZON.COM,11
MONTAGU,11
Transferwise,11
FRUTERIA BAMBU,11
ifood  *IFOODBRMARKET,11
HOSPITAL SANTA CRUZ,11
NoteMachine ATM,11
Kindle Svcs,11
GIASSI SUPERMERCADOS,11
PAYPAL *NETFLIX.COM,11
W M MORRISONS,11
HIPERMERCADO BIG 097,10
Cartao de TODOS,10
SUPERMERCADO FESTVAL,10
MERCADONA C/SAN JUAN,10
438373,10
CASA ARIAS,10
VILLA FAMIGLIA LUCCO,10
OBRAMAX ATACADO DE CON,10
POSTO SERVICO ALVORADA,10
Google YouTube Music,10
ZP *IFOODPOS,10
NN BEBIDAS,10
TESCO STORES 2523,10
K CITYMARKET ESPOO ISO,10
DEPOSITO,10
LETSUSHI BARRA,10
ZP          *IFOODMPAY,10
MERCPAGO    *MATEUSMO,10
FARMACIA ANG FL 83,10
REZA PIZZA & ESFIHAS,10
HIPER FRESC,10
"MONCAYO HOSTELERO,S.L.",10
POSTO DE COMBUSTIVEIS,10
Prisma Iso Omena,10
SUPERMERCADO RIBEIRO,10
MERCPAGO    *CANTINA,10
EC*SONYPLAYSTATN,10
FILIAL BK AEROPORTO DE,10
HSBC BANK PLC,10
RAPPI*VER BRASIL INTER,10
ESTER DE PROENCA PETRY,10
BOURBON N HBURGO,10
SACOLAO LAPA,10
CARREFOUR 33 SJP-SJRP,10
CHAMBAO,10
MARGARITA BAKERIES,10
JoseSantos,10
ON THAT ASS,10
RestauranteFrigid,10
CILEDA REGINA ZUNINO S,10
ANG SUPER FL 08,10
OMNILIFE BRASIL COM PR,10
AV CANDIDO HARTMANN,10
LOTE 02 QD 206 PRACA T,10
CAFE SOLO,10
EMPORIUM SAO PAULO,10
SUPERMERCADO COMETA,9
ALIEXPRESS COM,9
POSTO SETE ESTRELAS,9
flamarionjose,9
MINIMERCADOS PEROLA,9
SARA ROCHA LIMA MACIEL,9
SAINSBURYS SACAT (STOR,9
MC DONALDS BVL,9
CCBill.com,9
Billa Namesti Svobody,9
1616000011,9
MONETIZZE*Mtodo,9
E TAPAS,9
VFI*Nur Balibey Oy,9
PAYPAL *NETFLIX COM,9
AMAZON WEB SERVICES,9
BIDU CONVENIENCIA,9
GSAT BRASIL,9
RODOVIA SC 355,9
EC*PAGSMILE,9
PICPAY      *GB6 PGTOC,9
NOVECINCOSEISUMNOVECIN,9
siepomaga.pl,9
SOLO EXPRESS LTD,9
NIKE COM BR,9
COOPER,9
LIVELO,9
FOUR WIZARD KIOSK,9
PADARIA E CONFEITARIA,9
AV INDEPENDENCIA,9
CARREFOUR FUENG,9
SUPECO JEREZ,9
AMZN MKTP ES AMAZON.ES,9
ED.PLANETA DE AGOSTINI,9
B S COPACABANA COMERCI,8
UDEMY  ONLINE COURSES,8
MERCPAGO*LOTERIASONLIN,8
GURUME RDB,8
JocildaDaSilvaLim,8
ROYS FISH   CHIPS,8
ESPETO NO PONTO,8
BARCLAYS,8
POSTO TERRA NOVA,8
BOM PRECO SA,8
WWW.JUST-EAT.ES,8
sampaio,8
REST MANGIARE FELICE,8
Amazon-Marketplace,8
RUA BARAO DE MAUA X AV,8
CARONE SANTA LUCIA,8
FLORIDA,8
AGROPECUARIA COSTA,8
SUPER MARKETING,8
J VARGAS SUPERMERCADO,8
VENDOSTORE*,8
PADARIA CONFEITARIA,8
R XV DE NOVEMBRO,8
PADARIA E CONF. FLOR D,8
CARREFOUR 5 CPS CAMPIN,8
PAD MERCI VL ROMANA,8
HABIBS JOINVILLE,8
LIMA E SEBASTIAO LTDA,8
"AV BELVEDERE, QD U , L",8
AMAZON.CO.UK AMAZON.CO,8
REWE Markt GmbH-Zw,8
CLINICA SORRIR,8
DIOR MIAMI WOMEN,8
POSTO CIMATEL,8
FORN DE LA GUIXA,8
AV REPUBLICA ARGENTINA,8
TabacariaJonniWal,8
CACAU SHOW,8
SUP CASTANHA,8
PAYPAL *SPOTIFY,8
LA FARINA,8
SOLUCAO FARMA,8
ZP*IFOOD,8
AVENIDA MIGUEL DAMHA,8
GOOGLE  Google Play Apps,8
AUTO POSTO COLOSSAL BA,8
ZARA,8
SUPER ADEGA,8
RAPPI,8
CAFETERIAS INA EXPRESSO,8
AUTO POSTO ML,8
COLONIAL,8
LOJAS FIORE,8
LLOYDS,8
RIO G CALHAU,8
DELICIAS D' ROMA,8
NISA LOCAL GIDEA PARK,8
AutoPosto,8
EXTRA 1305,8
